id,name_english,lustig_site_id,archsite_id,pelle_objectid,Eileen_median_inscription_date(1),certainty,Eileen_median_inscription_date(2),certainty,Eileen_median_inscription_date(3),certainty,Eileen_median_inscription_date(4),certainty,Eileen_median_inscription_date(5),certainty,Eileen_median_inscription_date(6),certainty,Eileen_median_inscription_date(7),certainty,Eileen_median_inscription_date(8),certainty,lintel_median,lintel_date_certainty,Date to use,Rationale,literature,Additional time periods ,,Known dates not used,,,,,,,,,,,,
523,Kouk Ta Nei,null,100472,9389,,,,,,,,,,,,,,,,,null,null,1200,E,"1150-1250 (Glazie, The Angkor Guide, page 49",,,,,,,,,,,,,,,
525,Prei Monti (Pr.),753,58200,9414,849.5,Uncertain,,,,,,,,,,,,,,,880,0,865,B,,,,,,,,,,,,,,,,
543,Koh Ho (Pr.),733,51602,9674,1049.5,Uncertain,,,,,,,,,,,,,,,null,null,1049.5,A  ,,,,,,,,,,,,,,,,
549,Kouk Trapeang Lopov (Pr.),220,51800,9717,949.5,Uncertain,1002,Certain,,,,,,,,,,,,,955,1,976,C,,,,,,,,,,,,,,,,
603,Chau Srei Vibol (Pr.),null,56400,10285,,,,,,,,,,,,,,,,,1016,1,1016,A  ,,,,,,,,,,,,,,,,
643,Wat Kralanh,null,63500,11403,,,,,,,,,,,,,,,,,1040,0,1040,A  ,,,,,,,,,,,,,,,,
669,Tor (Pr.),585,54300,12101,1189,Certain,,,,,,,,,,,,,,,null,null,1189,A  ,,,,,,,,,,,,,,,,
686,Kouk Daung,null,60200,13015,,,,,,,,,,,,,,,,,930,0,930,A  ,,,,,,,,,,,,,,,,
721,Banteay Thom (Pr.),651,52000,14233,1200.5,Uncertain,1249.5,Uncertain,,,,,,,,,,,,,null,null,1225,B,,,,,,,,,,,,,,,,
759,Banteay Srei (Pr.),97,54602,15897,1301,Uncertain,1305,Certain,969,Certain,949.5,Uncertain,1011,Certain,1049.5,Uncertain,967.5,Certain,,,967,1,967,D,"967 (Glazie, The Angkor Guide, page 49)",,,1305,,,,,,,,,,,,
761,Phnom Dei II,618,61301,15929,893,Certain,,,,,,,,,,,,,,,null,null,893,A  ,,,,,,,,,,,,,,,,
778,Sek Ta Tuy (Pr.),103,21302,16745,1035,uncertain,1030,uncertain,980,uncertain,980,uncertain,,,,,,,,,null,null,1007.5,C,,,,,,,,,,,,,,,,
788,Bayon (Pr.),84,47400,17264,1200.5,Uncertain,1249.5,Uncertain,1327,Certain,,,,,,,,,,,null,null,1201,D,"1150-1250 (Glazie, The Angkor Guide, page 49",,,1327,,,,,,,,,,,,
789,Phnom Roung,null,59600,17367,,,,,,,,,,,,,,,,,690,0,690,A  ,,,,,,,,,,,,,,,,
795,Thommanon (Pr.),null,49000,17869,,,,,,,,,,,,,,,,,null,null,1100,E,"1050-1150 (Glazie, The Angkor Guide, page 49)",,,,,,,,,,,,,,,
796,Ta Keo (Pr.),59,53300,18002,1025.5,Uncertain,1043.5,Uncertain,1004.5,Certain,893,Certain,1238,Uncertain,1149.5,Uncertain,1050,uncertain,,,null,null,1005,D,"1000-1050 (Glazie, The Angkor Guide, page 49)",,,893,,,,,,,,,,,,
800,Chau Say Tevoda,null,48900,18102,,,,,,,,,,,,,,,,,null,null,1100,E,"1050-1150 (Glazie, The Angkor Guide, page 49)",,,,,,,,,,,,,,,
806,Kutishvara,null,53502,19104,,,,,,,,,,,,,,,,,955,0,955,A  ,,,,,,,,,,,,,,,,
807,Bat Chum (Pr.),692,53600,19128,956.5,Certain,953,Uncertain,,,,,,,,,,,,,953,1,954,B,,,,,,,,,,,,,,,,
814,Kravan (Pr.),57,53700,19257,921,Certain,,,,,,,,,,,,,,,921,1,921,B,"921 (Glazie, The Angkor Guide, page 49)",,,,,,,,,,,,,,,
815,East Mebon,364,53100,19322,953,Certain,956,Uncertain,,,,,,,,,,,,,953,1,954,B,"952 (Glazie, The Angkor Guide, page 49)",,,,,,,,,,,,,,,
818,Pre Rup (Pr.),581,53800,19747,1080,Certain,961,Certain,,,,,,,,,,,,,961,1,961,D,"961 (Glazie, The Angkor Guide, page 49)",,,1080,,,,,,,,,,,,
821,Banteay Samre (Pr.),null,54100,19872,,,,,,,,,,,,,,,,,null,null,1150,E,"1150 (Glazie, The Angkor Guide, page 189)",,,,,,,,,,,,,,,
823,To Be Determined,499,100885,20134,949.5,Uncertain,956,Uncertain,,,,,,,,,,,,,null,null,953,B,,,,,,,,,,,,,,,,
827,West Mebon,136,51700,20719,713,Certain,,,,,,,,,,,,,,,null,null,713,A  ,,,,,,,,,,,,,,,,
831,Prei Khmeng (Pr.),124,59400,20916,924.5,Certain,,,,,,,,,,,,,,,650,0,925,F,,,,,,,,,,,,,,,,
832,Ak Yum (Pr.),122,59202,20989,674,Uncertain,704,Certain,1001,Certain,,,,,,,,,,,690,0,704,F,,,,1001,,,,,,,,,,,,
862,Kapilapura,512,49200,22798,968,certain,,,,,,,,,,,,,,,875,0,968,F,,,,,,,,,,,,,,,,
875,Bei (Pr.),null,49400,23532,,,,,,,,,,,,,,,,,900,0,900,A  ,"900-999 (Glazie, The Angkor Guide, page 49)",,,,,,,,,,,,,,,
876,Bay Kaek West (Pr.),null,49300,23533,,,,,,,,,,,,,,,,,995,0,995,A  ,,,,,,,,,,,,,,,,
885,Phnom Bakheng (Pr.),110,49600,23569,968,Certain,649.5,Uncertain,999.5,Uncertain,1049.5,Uncertain,,,,,,,,,895,0,900,D,"900 (Glazie, The Angkor Guide, page 49)",,,650,,,,,,,,,,,,
927,"temple east of Khleang, north",null,48006,24008,,,,,,,,,,,,,,,,,1005,0,1005,A  ,,,,,,,,,,,,,,,,
941,Top (Pr.),null,48600,25094,,,,,,,,,,,,,,,,,970,0,970,A  ,,,,,,,,,,,,,,,,
1002,Prei Prasat,666,53002,26643,902,Uncertain,,,,,,,,,,,,,,,null,null,902,A  ,,,,,,,,,,,,,,,,
1003,Komnâp (Pr.),657,53003,26644,899.5,Uncertain,,,,,,,,,,,,,,,null,null,899.5,A  ,,,,,,,,,,,,,,,,
1004,Leak Neang (Pr.),54,54000,26645,959,Certain,,,,,,,,,,,,,,,960,0,960,B,,,,,,,,,,,,,,,,
1031,Wat Prasat,null,59100,26679,,,,,,,,,,,,,,,,,970,0,970,A  ,,,,,,,,,,,,,,,,
1047,Wat Khnat,214,59200,26700,851,Certain,,,,,,,,,,,,,,,710,0,851,F,,,,,,,,,,,,,,,,
1058,Bakong (Pr.),434,58400,26716,881,Certain,887,Uncertain,899.5,Uncertain,949.5,Uncertain,949.5,Uncertain,1025.5,Uncertain,,,,,880,0,881,D,"881 (Glazie, The Angkor Guide, page 49)",yes,,1001,,,,,,,,,,,,
1061,Krohom (Pr.),null,55500,27057,,,,,,,,,,,,,,,,,830,0,830,A  ,,,,,,,,,,,,,,,,
1063,Phnom Sruoch,553,55815,27133,1149.5,Uncertain,,,,,,,,,,,,,,,815,0,815,F,,,,,,,,,,,,,,,,
1065,Khting Slap (Pr.),null,55806,27212,,,,,,,,,,,,,,,,,820,0,820,A  ,,,,,,,,,,,,,,,,
1083,Don Meas (Pr.),null,55611,28073,,,,,,,,,,,,,,,,,840,0,840,A  ,,,,,,,,,,,,,,,,
1108,Pr. Ang Ampil,206,200764,null,1002,Certain,,,,,,,,,,,,,,,null,null,1002,A  ,,,,,,,,,,,,,,,,
1121,O Paong (Pr.),null,55600,null,,,,,,,,,,,,,,,,,825,0,825,A  ,,,,,,,,,,,,,,,,
1122,Damrei Krap (Pr.),null,55800,null,,,,,,,,,,,,,,,,,810,0,810,A  ,,,,,,,,,,,,,,,,
1125,O Ka-aek (Pr.),498,58907,null,949.5,Certain,,,,,,,,,,,,,,,880,0,949,F,,,,,,,,,,,,,,,,
1143,"Chrung (Pr,), northeast",511,47203,null,1249.5,Uncertain,,,,,,,,,,,,,,,null,null,1249.5,A  ,,,,,,,,,,,,,,,,
1144,"Chrung (Pr.), northwest",508,47204,null,1249.5,Uncertain,,,,,,,,,,,,,,,null,null,1249.5,A  ,,,,,,,,,,,,,,,,
1146,Anlong Thom (Pr.),null,55403,null,,,,,,,,,,,,,,,,,835,0,835,A  ,,,,,,,,,,,,,,,,
1147,Koki (Pr.),null,55603,null,,,,,,,,,,,,,,,,,825,0,825,A  ,,,,,,,,,,,,,,,,
1148,Rup Arak (Pr.),null,55604,null,,,,,,,,,,,,,,,,,825,0,825,A  ,,,,,,,,,,,,,,,,
1152,Thmâ Puok (Stèle),516,81200,null,989,Certain,,,,,,,,,,,,,,,null,null,989,A  ,,,,,,,,,,,,,,,,
1153,Banteay Chmar,514,81600,null,1200.5,Uncertain,,,,,,,,,,,,,,,null,null,1200.5,A  ,,,,,,,,,,,,,,,,
1155,Wat Tasar Sdâm,129,100011,null,899.5,Uncertain,,,,,,,,,,,,,,,null,null,899.5,A  ,,,,,,,,,,,,,,,,
1219,Bos Neak (Pr.),null,55610,null,,,,,,,,,,,,,,,,,840,0,840,A  ,,,,,,,,,,,,,,,,
1260,Thm Dap (Pr.),null,55702,null,,,,,,,,,,,,,,,,,830,0,830,A  ,,,,,,,,,,,,,,,,
1262,Neak Ta (Pr.),null,55900,null,,,,,,,,,,,,,,,,,825,0,825,A  ,,,,,,,,,,,,,,,,
1613,Ta Prohm,558,53400,12151,1186,Certain,1200.5,Uncertain,,,,,,,,,,,,,null,null,1193,B,"1186 (Glazie, The Angkor Guide, page 49); strong support for habitation during the 12-13th centuries (GAP Ta Prohm excavation report page 5); area was occupied as early as the 10th century and as late as the 13th century (GAP Ta Prohm excavation report page 7)",,,,,,,,,,,,,,,
1618,Neak Pean (Pr.),715,52700,null,1249.5,Uncertain,,,,,,,,,,,,,,,null,null,1250,A  ,,,,,,,,,,,,,,,,
1640,Royal Palace,null,47601,null,,,,,,,,,,,,,,,,,1011,1,1011,A  ,,,,,,,,,,,,,,,,
1662,Angkor Wat,490,49700,22446,1149.5,Uncertain,1249.5,Uncertain,,,,,,,,,,,,,null,null,1150,D,"1150 (Glazie, The Angkor Guide, page 49)",,,1150,,,,,,,,,,,,
1665,Preah Khan,,52200,,,,,,,,,,,,,,,,,,,,1151,F,"1151 (Glazie, The Angkor Guide, page 173)",,,,,,,,,,,,,,,
1668,Wat Damnak,77,54500,null,1025.5,Uncertain,,,,,,,,,,,,,,,null,null,1025.5,A  ,,,,,,,,,,,,,,,,
1721,Trapeang Srangè (Pr.),null,58800,null,,,,,,,,,,,,,,,,,880,0,880,A  ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1639,#N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1640,#N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1662,#N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1665,#N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1668,#N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1676,#N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1721,#N/A
